85.857,122.37,0.35418,36.566,49.316,14.656,42.501,60,60,20
85.613,126.53,0.34074,36.566,49.389,14.729,42.428,60,60,20
85.613,123.35,0.32731,36.492,49.243,14.656,42.428,60,60,20
85.369,117,0.3151,36.566,49.243,14.656,42.501,60,60,20
85.125,126.04,0.35051,36.419,49.17,14.656,42.355,60,60,20
85.002,123.11,0.35173,36.419,49.17,14.656,42.501,60,60,20
84.88,125.55,0.34196,36.346,49.17,14.729,42.501,60,60,20
84.636,125.79,0.32731,36.492,49.243,14.656,42.355,60,60,20
84.758,119.69,0.31387,36.419,49.023,14.656,42.428,60,60,20
84.392,122.13,0.34196,36.419,49.023,14.656,42.281,60,60,20
84.148,120.18,0.34807,36.273,48.95,14.582,42.281,60,60,20
84.148,120.42,0.33586,36.346,49.023,14.656,42.355,60,60,20
84.025,124.33,0.32364,36.273,49.023,14.582,42.208,60,60,20
83.659,121.64,0.31265,36.346,48.95,14.729,42.355,60,60,20
83.537,123.11,0.35662,36.273,48.876,14.656,42.208,60,60,20
83.537,125.55,0.34563,36.273,48.803,14.656,42.208,60,60,20
83.17,118.95,0.33341,36.273,48.803,14.656,42.355,60,60,20
82.926,125.79,0.32242,36.273,48.803,14.656,42.135,60,60,20
83.048,125.06,0.32487,36.126,48.73,14.656,42.135,60,60,20
82.682,122.13,0.35662,36.199,48.73,14.656,42.135,60,60,20
82.56,125.79,0.34319,36.199,48.73,14.656,41.988,60,60,20
82.316,123.6,0.32975,36.126,48.657,14.802,42.135,60,60,20
82.316,120.18,0.31876,36.126,48.583,14.582,42.135,60,60,20
81.949,122.86,0.34319,36.199,48.583,14.582,42.135,60,60,20
81.949,121.89,0.35418,36.126,48.583,14.582,41.988,60,60,20
81.705,124.82,0.33952,36.053,48.657,14.729,41.988,60,60,20
81.339,124.82,0.32853,36.199,48.657,14.729,41.842,60,60,20
81.339,121.89,0.31754,36.126,48.583,14.656,41.988,60,60,20
81.094,126.28,0.3615,36.053,48.583,14.729,42.135,60,60,20
80.972,120.42,0.34929,35.979,48.583,14.582,42.135,60,60,20
80.728,122.86,0.33708,36.126,48.437,14.656,42.135,60,60,20
80.606,126.77,0.32364,35.979,48.363,14.656,42.062,60,60,20
80.606,124.08,0.31265,36.053,48.363,14.656,42.135,60,60,20
80.484,123.11,0.35296,35.979,48.363,14.582,42.062,60,60,20
80.117,129.46,0.34685,36.053,48.51,14.729,42.062,60,60,20
79.995,118.95,0.33219,35.906,48.51,14.656,41.988,60,60,20
79.995,121.4,0.3212,35.979,48.437,14.582,41.988,60,60,20
79.629,125.06,0.31876,35.906,48.51,14.729,41.988,60,60,20
79.507,120.66,0.3554,35.833,48.29,14.582,41.915,60,60,20
79.507,124.33,0.34196,35.833,48.29,14.656,41.988,60,60,20
79.262,121.4,0.32975,36.053,48.363,14.729,41.988,60,60,20
78.896,121.64,0.31754,35.833,48.29,14.656,42.062,60,60,20
78.896,126.04,0.33708,35.906,48.363,14.656,41.988,60,60,20
78.774,118.95,0.35418,35.833,48.29,14.656,41.915,60,60,20
78.53,124.82,0.34074,35.833,48.217,14.656,41.842,60,60,20
78.407,123.6,0.32975,35.906,48.144,14.582,41.915,60,60,20
